sample,component_pages_allocated,directories_allocated,component_values_copied,directory_entries_copied,candidate_bodies_scanned,changed_bodies,body_reconstructions
331,4,2,256,314,100,100,0
332,4,2,256,314,100,100,0
333,4,2,256,314,100,100,0
334,4,2,256,314,100,100,0
335,4,2,256,314,100,100,0
336,4,2,256,314,100,100,0
337,4,2,256,314,100,100,0
338,4,2,256,314,100,100,0
339,4,2,256,314,100,100,0
340,4,2,256,314,100,100,0
341,4,2,256,314,100,100,0
342,4,2,256,314,100,100,0
343,4,2,256,314,100,100,0
344,4,2,256,314,100,100,0
345,4,2,256,314,100,100,0
346,4,2,256,314,100,100,0
347,4,2,256,314,100,100,0
348,4,2,256,314,100,100,0
349,4,2,256,314,100,100,0
350,4,2,256,314,100,100,0
351,4,2,256,314,100,100,0
352,4,2,256,314,100,100,0
353,4,2,256,314,100,100,0
354,4,2,256,314,100,100,0
355,4,2,256,314,100,100,0
356,4,2,256,314,100,100,0
357,4,2,256,314,100,100,0
358,4,2,256,314,100,100,0
359,4,2,256,314,100,100,0
360,4,2,256,314,100,100,0
361,4,2,256,314,100,100,0
362,4,2,256,314,100,100,0
363,4,2,256,314,100,100,0
364,4,2,256,314,100,100,0
365,4,2,256,314,100,100,0
366,4,2,256,314,100,100,0
367,4,2,256,314,100,100,0
368,4,2,256,314,100,100,0
369,4,2,256,314,100,100,0
370,4,2,256,314,100,100,0
371,4,2,256,314,100,100,0
372,4,2,256,314,100,100,0
373,4,2,256,314,100,100,0
374,4,2,256,314,100,100,0
375,4,2,256,314,100,100,0
376,4,2,256,314,100,100,0
377,4,2,256,314,100,100,0
378,4,2,256,314,100,100,0
379,4,2,256,314,100,100,0
380,4,2,256,314,100,100,0
381,4,2,256,314,100,100,0
382,4,2,256,314,100,100,0
383,4,2,256,314,100,100,0
384,4,2,256,314,100,100,0
385,4,2,256,314,100,100,0
386,4,2,256,314,100,100,0
387,4,2,256,314,100,100,0
388,4,2,256,314,100,100,0
389,4,2,256,314,100,100,0
390,4,2,256,314,100,100,0
391,4,2,256,314,100,100,0
392,4,2,256,314,100,100,0
393,4,2,256,314,100,100,0
394,4,2,256,314,100,100,0
395,4,2,256,314,100,100,0
396,4,2,256,314,100,100,0
397,4,2,256,314,100,100,0
398,4,2,256,314,100,100,0
399,4,2,256,314,100,100,0
400,4,2,256,314,100,100,0
401,4,2,256,314,100,100,0
402,4,2,256,314,100,100,0
403,4,2,256,314,100,100,0
404,4,2,256,314,100,100,0
405,4,2,256,314,100,100,0
406,4,2,256,314,100,100,0
407,4,2,256,314,100,100,0
408,4,2,256,314,100,100,0
409,4,2,256,314,100,100,0
410,4,2,256,314,100,100,0
411,4,2,256,314,100,100,0
412,4,2,256,314,100,100,0
413,4,2,256,314,100,100,0
414,4,2,256,314,100,100,0
415,4,2,256,314,100,100,0
416,4,2,256,314,100,100,0
417,4,2,256,314,100,100,0
418,4,2,256,314,100,100,0
419,4,2,256,314,100,100,0
420,4,2,256,314,100,100,0
421,4,2,256,314,100,100,0
422,4,2,256,314,100,100,0
423,4,2,256,314,100,100,0
424,4,2,256,314,100,100,0
425,4,2,256,314,100,100,0
426,4,2,256,314,100,100,0
427,4,2,256,314,100,100,0
428,4,2,256,314,100,100,0
429,4,2,256,314,100,100,0
430,4,2,256,314,100,100,0
431,4,2,256,314,100,100,0
432,4,2,256,314,100,100,0
433,4,2,256,314,100,100,0
434,4,2,256,314,100,100,0
435,4,2,256,314,100,100,0
436,4,2,256,314,100,100,0
437,4,2,256,314,100,100,0
438,4,2,256,314,100,100,0
439,4,2,256,314,100,100,0
440,4,2,256,314,100,100,0
441,4,2,256,314,100,100,0
442,4,2,256,314,100,100,0
443,4,2,256,314,100,100,0
444,4,2,256,314,100,100,0
445,4,2,256,314,100,100,0
446,4,2,256,314,100,100,0
447,4,2,256,314,100,100,0
448,4,2,256,314,100,100,0
449,4,2,256,314,100,100,0
450,4,2,256,314,100,100,0
451,4,2,256,314,100,100,0
452,4,2,256,314,100,100,0
453,4,2,256,314,100,100,0
454,4,2,256,314,100,100,0
455,4,2,256,314,100,100,0
456,4,2,256,314,100,100,0
457,4,2,256,314,100,100,0
458,4,2,256,314,100,100,0
459,4,2,256,314,100,100,0
460,4,2,256,314,100,100,0
461,4,2,256,314,100,100,0
462,4,2,256,314,100,100,0
463,4,2,256,314,100,100,0
464,4,2,256,314,100,100,0
465,4,2,256,314,100,100,0
466,4,2,256,314,100,100,0
467,4,2,256,314,100,100,0
468,4,2,256,314,100,100,0
469,4,2,256,314,100,100,0
470,4,2,256,314,100,100,0
471,4,2,256,314,100,100,0
472,4,2,256,314,100,100,0
473,4,2,256,314,100,100,0
474,4,2,256,314,100,100,0
475,4,2,256,314,100,100,0
476,4,2,256,314,100,100,0
477,4,2,256,314,100,100,0
478,4,2,256,314,100,100,0
479,4,2,256,314,100,100,0
480,4,2,256,314,100,100,0
481,4,2,256,314,100,100,0
482,4,2,256,314,100,100,0
483,4,2,256,314,100,100,0
484,4,2,256,314,100,100,0
485,4,2,256,314,100,100,0
486,4,2,256,314,100,100,0
487,4,2,256,314,100,100,0
488,4,2,256,314,100,100,0
489,4,2,256,314,100,100,0
490,4,2,256,314,100,100,0
491,4,2,256,314,100,100,0
492,4,2,256,314,100,100,0
493,4,2,256,314,100,100,0
494,4,2,256,314,100,100,0
495,4,2,256,314,100,100,0
496,4,2,256,314,100,100,0
