sample,duration_ns,component_pages_allocated,directories_allocated,component_values_copied,directory_entries_copied,candidate_bodies_scanned,changed_bodies
431,5200,4,2,256,314,100,100
432,5100,4,2,256,314,100,100
433,5200,4,2,256,314,100,100
434,5100,4,2,256,314,100,100
435,5100,4,2,256,314,100,100
436,5100,4,2,256,314,100,100
437,5100,4,2,256,314,100,100
438,5300,4,2,256,314,100,100
439,5200,4,2,256,314,100,100
440,5100,4,2,256,314,100,100
441,5200,4,2,256,314,100,100
442,5200,4,2,256,314,100,100
443,5100,4,2,256,314,100,100
444,5200,4,2,256,314,100,100
445,5100,4,2,256,314,100,100
446,5100,4,2,256,314,100,100
447,5200,4,2,256,314,100,100
448,5100,4,2,256,314,100,100
449,5200,4,2,256,314,100,100
450,5100,4,2,256,314,100,100
451,5100,4,2,256,314,100,100
452,5200,4,2,256,314,100,100
453,5100,4,2,256,314,100,100
454,5200,4,2,256,314,100,100
455,5200,4,2,256,314,100,100
456,5200,4,2,256,314,100,100
457,5100,4,2,256,314,100,100
458,5100,4,2,256,314,100,100
459,5200,4,2,256,314,100,100
460,5200,4,2,256,314,100,100
461,5100,4,2,256,314,100,100
462,5200,4,2,256,314,100,100
463,5100,4,2,256,314,100,100
464,5200,4,2,256,314,100,100
465,5100,4,2,256,314,100,100
466,5100,4,2,256,314,100,100
467,5200,4,2,256,314,100,100
468,5300,4,2,256,314,100,100
469,5200,4,2,256,314,100,100
470,5200,4,2,256,314,100,100
471,5100,4,2,256,314,100,100
472,5200,4,2,256,314,100,100
473,5100,4,2,256,314,100,100
474,5200,4,2,256,314,100,100
475,5200,4,2,256,314,100,100
476,5200,4,2,256,314,100,100
477,5200,4,2,256,314,100,100
478,5100,4,2,256,314,100,100
479,5100,4,2,256,314,100,100
480,5200,4,2,256,314,100,100
481,5100,4,2,256,314,100,100
482,5100,4,2,256,314,100,100
483,5100,4,2,256,314,100,100
484,5100,4,2,256,314,100,100
485,5100,4,2,256,314,100,100
486,5200,4,2,256,314,100,100
487,5100,4,2,256,314,100,100
488,5200,4,2,256,314,100,100
489,5200,4,2,256,314,100,100
490,5200,4,2,256,314,100,100
491,5200,4,2,256,314,100,100
492,5100,4,2,256,314,100,100
493,5200,4,2,256,314,100,100
494,5100,4,2,256,314,100,100
495,5100,4,2,256,314,100,100
496,5200,4,2,256,314,100,100
497,5100,4,2,256,314,100,100
498,5100,4,2,256,314,100,100
499,5100,4,2,256,314,100,100
500,5200,4,2,256,314,100,100
501,5100,4,2,256,314,100,100
502,5200,4,2,256,314,100,100
503,5100,4,2,256,314,100,100
504,5100,4,2,256,314,100,100
505,5000,4,2,256,314,100,100
506,5100,4,2,256,314,100,100
507,5100,4,2,256,314,100,100
508,5200,4,2,256,314,100,100
509,5100,4,2,256,314,100,100
510,5100,4,2,256,314,100,100
511,5000,4,2,256,314,100,100
512,5100,4,2,256,314,100,100
513,5100,4,2,256,314,100,100
514,5200,4,2,256,314,100,100
515,5100,4,2,256,314,100,100
516,5100,4,2,256,314,100,100
517,5100,4,2,256,314,100,100
518,5200,4,2,256,314,100,100
519,5100,4,2,256,314,100,100
520,5200,4,2,256,314,100,100
521,5100,4,2,256,314,100,100
522,5100,4,2,256,314,100,100
523,5100,4,2,256,314,100,100
524,5100,4,2,256,314,100,100
525,5100,4,2,256,314,100,100
526,5100,4,2,256,314,100,100
527,5100,4,2,256,314,100,100
528,5100,4,2,256,314,100,100
529,5000,4,2,256,314,100,100
530,5200,4,2,256,314,100,100
531,5200,4,2,256,314,100,100
532,5100,4,2,256,314,100,100
533,5100,4,2,256,314,100,100
534,5100,4,2,256,314,100,100
535,5100,4,2,256,314,100,100
536,5200,4,2,256,314,100,100
537,5100,4,2,256,314,100,100
538,5100,4,2,256,314,100,100
539,5200,4,2,256,314,100,100
540,5200,4,2,256,314,100,100
541,5100,4,2,256,314,100,100
542,5100,4,2,256,314,100,100
543,5100,4,2,256,314,100,100
544,5100,4,2,256,314,100,100
545,12500,4,2,256,314,100,100
546,5200,4,2,256,314,100,100
547,5100,4,2,256,314,100,100
548,5200,4,2,256,314,100,100
549,5100,4,2,256,314,100,100
550,5200,4,2,256,314,100,100
551,5100,4,2,256,314,100,100
552,5100,4,2,256,314,100,100
553,5100,4,2,256,314,100,100
554,5200,4,2,256,314,100,100
555,5100,4,2,256,314,100,100
556,5300,4,2,256,314,100,100
557,5100,4,2,256,314,100,100
558,5200,4,2,256,314,100,100
559,5100,4,2,256,314,100,100
560,5100,4,2,256,314,100,100
561,5100,4,2,256,314,100,100
562,5200,4,2,256,314,100,100
563,5000,4,2,256,314,100,100
564,5100,4,2,256,314,100,100
565,5100,4,2,256,314,100,100
566,5200,4,2,256,314,100,100
567,5100,4,2,256,314,100,100
568,5100,4,2,256,314,100,100
569,5100,4,2,256,314,100,100
570,5100,4,2,256,314,100,100
571,5000,4,2,256,314,100,100
572,5100,4,2,256,314,100,100
573,5200,4,2,256,314,100,100
574,5100,4,2,256,314,100,100
575,5200,4,2,256,314,100,100
576,5200,4,2,256,314,100,100
577,5100,4,2,256,314,100,100
578,5200,4,2,256,314,100,100
579,5200,4,2,256,314,100,100
580,5200,4,2,256,314,100,100
581,5000,4,2,256,314,100,100
582,5200,4,2,256,314,100,100
583,5000,4,2,256,314,100,100
584,5100,4,2,256,314,100,100
585,5100,4,2,256,314,100,100
586,5100,4,2,256,314,100,100
587,5200,4,2,256,314,100,100
588,5200,4,2,256,314,100,100
589,5100,4,2,256,314,100,100
590,5100,4,2,256,314,100,100
591,5100,4,2,256,314,100,100
592,5300,4,2,256,314,100,100
593,5000,4,2,256,314,100,100
594,5100,4,2,256,314,100,100
595,5100,4,2,256,314,100,100
596,5200,4,2,256,314,100,100
597,5200,4,2,256,314,100,100
598,5200,4,2,256,314,100,100
599,5100,4,2,256,314,100,100
600,5100,4,2,256,314,100,100
601,5100,4,2,256,314,100,100
602,5200,4,2,256,314,100,100
603,5100,4,2,256,314,100,100
604,5100,4,2,256,314,100,100
605,5000,4,2,256,314,100,100
606,5200,4,2,256,314,100,100
607,5000,4,2,256,314,100,100
608,5200,4,2,256,314,100,100
609,5000,4,2,256,314,100,100
610,5200,4,2,256,314,100,100
611,5100,4,2,256,314,100,100
612,5100,4,2,256,314,100,100
613,5000,4,2,256,314,100,100
614,5100,4,2,256,314,100,100
615,5100,4,2,256,314,100,100
616,5200,4,2,256,314,100,100
617,5100,4,2,256,314,100,100
618,5100,4,2,256,314,100,100
619,5200,4,2,256,314,100,100
620,5100,4,2,256,314,100,100
621,5100,4,2,256,314,100,100
622,5200,4,2,256,314,100,100
623,5000,4,2,256,314,100,100
624,5100,4,2,256,314,100,100
625,5000,4,2,256,314,100,100
626,5200,4,2,256,314,100,100
627,5100,4,2,256,314,100,100
628,5200,4,2,256,314,100,100
629,5100,4,2,256,314,100,100
630,5200,4,2,256,314,100,100
631,5100,4,2,256,314,100,100
632,5100,4,2,256,314,100,100
633,5000,4,2,256,314,100,100
634,5100,4,2,256,314,100,100
635,5100,4,2,256,314,100,100
636,5100,4,2,256,314,100,100
637,5100,4,2,256,314,100,100
638,5200,4,2,256,314,100,100
639,5000,4,2,256,314,100,100
640,5200,4,2,256,314,100,100
641,5100,4,2,256,314,100,100
642,5200,4,2,256,314,100,100
643,5000,4,2,256,314,100,100
644,5200,4,2,256,314,100,100
645,5100,4,2,256,314,100,100
646,5100,4,2,256,314,100,100
647,5100,4,2,256,314,100,100
648,5200,4,2,256,314,100,100
649,5000,4,2,256,314,100,100
650,5200,4,2,256,314,100,100
651,5100,4,2,256,314,100,100
652,5200,4,2,256,314,100,100
653,5000,4,2,256,314,100,100
654,5200,4,2,256,314,100,100
655,5000,4,2,256,314,100,100
656,5100,4,2,256,314,100,100
657,5200,4,2,256,314,100,100
658,5100,4,2,256,314,100,100
659,5100,4,2,256,314,100,100
660,5200,4,2,256,314,100,100
661,5100,4,2,256,314,100,100
662,5200,4,2,256,314,100,100
663,5100,4,2,256,314,100,100
664,5100,4,2,256,314,100,100
665,5100,4,2,256,314,100,100
666,5200,4,2,256,314,100,100
667,5200,4,2,256,314,100,100
668,5100,4,2,256,314,100,100
669,5100,4,2,256,314,100,100
670,5100,4,2,256,314,100,100
671,5100,4,2,256,314,100,100
672,5200,4,2,256,314,100,100
673,5100,4,2,256,314,100,100
674,5200,4,2,256,314,100,100
675,5000,4,2,256,314,100,100
676,5200,4,2,256,314,100,100
677,5200,4,2,256,314,100,100
678,5000,4,2,256,314,100,100
679,5100,4,2,256,314,100,100
