sample,allocations,bytes_requested,bytes_committed,overflow_blocks,bytes_per_epoch,retained_epochs
724,2,5600,0,0,65536,16
725,2,5600,0,0,65536,16
726,2,5600,0,0,65536,16
727,2,5600,0,0,65536,16
728,2,5600,0,0,65536,16
729,2,5600,0,0,65536,16
730,2,5600,0,0,65536,16
731,2,5600,0,0,65536,16
732,2,5600,0,0,65536,16
733,2,5600,0,0,65536,16
734,2,5600,0,0,65536,16
735,2,5600,0,0,65536,16
736,2,5600,0,0,65536,16
737,2,5600,0,0,65536,16
738,2,5600,0,0,65536,16
739,2,5600,0,0,65536,16
740,2,5600,0,0,65536,16
741,2,5600,0,0,65536,16
742,2,5600,0,0,65536,16
743,2,5600,0,0,65536,16
744,2,5600,0,0,65536,16
745,2,5600,0,0,65536,16
746,2,5600,0,0,65536,16
747,2,5600,0,0,65536,16
748,2,5600,0,0,65536,16
749,2,5600,0,0,65536,16
750,2,5600,0,0,65536,16
751,2,5600,0,0,65536,16
752,2,5600,0,0,65536,16
753,2,5600,0,0,65536,16
754,2,5600,0,0,65536,16
755,2,5600,0,0,65536,16
756,2,5600,0,0,65536,16
757,2,5600,0,0,65536,16
758,2,5600,0,0,65536,16
759,2,5600,0,0,65536,16
760,2,5600,0,0,65536,16
761,2,5600,0,0,65536,16
762,2,5600,0,0,65536,16
763,2,5600,0,0,65536,16
764,2,5600,0,0,65536,16
765,2,5600,0,0,65536,16
766,2,5600,0,0,65536,16
767,2,5600,0,0,65536,16
768,2,5600,0,0,65536,16
769,2,5600,0,0,65536,16
770,2,5600,0,0,65536,16
771,2,5600,0,0,65536,16
772,2,5600,0,0,65536,16
773,2,5600,0,0,65536,16
774,2,5600,0,0,65536,16
775,2,5600,0,0,65536,16
776,2,5600,0,0,65536,16
777,2,5600,0,0,65536,16
778,2,5600,0,0,65536,16
779,2,5600,0,0,65536,16
780,2,5600,0,0,65536,16
781,2,5600,0,0,65536,16
782,2,5600,0,0,65536,16
783,2,5600,0,0,65536,16
784,2,5600,0,0,65536,16
785,2,5600,0,0,65536,16
786,2,5600,0,0,65536,16
787,2,5600,0,0,65536,16
788,2,5600,0,0,65536,16
789,2,5600,0,0,65536,16
790,2,5600,0,0,65536,16
791,2,5600,0,0,65536,16
792,2,5600,0,0,65536,16
793,2,5600,0,0,65536,16
794,2,5600,0,0,65536,16
795,2,5600,0,0,65536,16
796,2,5600,0,0,65536,16
797,2,5600,0,0,65536,16
798,2,5600,0,0,65536,16
799,2,5600,0,0,65536,16
800,2,5600,0,0,65536,16
801,2,5600,0,0,65536,16
802,2,5600,0,0,65536,16
803,2,5600,0,0,65536,16
804,2,5600,0,0,65536,16
805,2,5600,0,0,65536,16
806,2,5600,0,0,65536,16
807,2,5600,0,0,65536,16
808,2,5600,0,0,65536,16
809,2,5600,0,0,65536,16
810,2,5600,0,0,65536,16
811,2,5600,0,0,65536,16
812,2,5600,0,0,65536,16
813,2,5600,0,0,65536,16
814,2,5600,0,0,65536,16
815,2,5600,0,0,65536,16
816,2,5600,0,0,65536,16
817,2,5600,0,0,65536,16
818,2,5600,0,0,65536,16
819,2,5600,0,0,65536,16
820,2,5600,0,0,65536,16
821,2,5600,0,0,65536,16
822,2,5600,0,0,65536,16
823,2,5600,0,0,65536,16
824,2,5600,0,0,65536,16
825,2,5600,0,0,65536,16
826,2,5600,0,0,65536,16
827,2,5600,0,0,65536,16
828,2,5600,0,0,65536,16
829,2,5600,0,0,65536,16
830,2,5600,0,0,65536,16
831,2,5600,0,0,65536,16
832,2,5600,0,0,65536,16
833,2,5600,0,0,65536,16
834,2,5600,0,0,65536,16
835,2,5600,0,0,65536,16
836,2,5600,0,0,65536,16
837,2,5600,0,0,65536,16
838,2,5600,0,0,65536,16
839,2,5600,0,0,65536,16
840,2,5600,0,0,65536,16
841,2,5600,0,0,65536,16
842,2,5600,0,0,65536,16
843,2,5600,0,0,65536,16
844,2,5600,0,0,65536,16
845,2,5600,0,0,65536,16
846,2,5600,0,0,65536,16
847,2,5600,0,0,65536,16
848,2,5600,0,0,65536,16
849,2,5600,0,0,65536,16
850,2,5600,0,0,65536,16
851,2,5600,0,0,65536,16
852,2,5600,0,0,65536,16
853,2,5600,0,0,65536,16
854,2,5600,0,0,65536,16
855,2,5600,0,0,65536,16
856,2,5600,0,0,65536,16
857,2,5600,0,0,65536,16
858,2,5600,0,0,65536,16
859,2,5600,0,0,65536,16
860,2,5600,0,0,65536,16
861,2,5600,0,0,65536,16
862,2,5600,0,0,65536,16
