sample,probe_calibrated,cpp_heap_allocations,cpp_heap_bytes
582,1,21,28246
583,1,21,28246
584,1,21,28246
585,1,21,28246
586,1,21,28246
587,1,21,28246
588,1,21,28246
589,1,21,28246
590,1,21,28246
591,1,21,28246
592,1,21,28246
593,1,21,28246
594,1,21,28246
595,1,21,28246
596,1,21,28246
597,1,21,28246
598,1,21,28246
599,1,21,28246
600,1,21,28246
601,1,21,28246
602,1,21,28246
603,1,21,28246
604,1,21,28246
605,1,21,28246
606,1,21,28246
607,1,21,28246
608,1,21,28246
609,1,21,28246
610,1,21,28246
611,1,21,28246
612,1,21,28246
613,1,21,28246
614,1,21,28246
615,1,21,28246
616,1,21,28246
617,1,21,28246
618,1,21,28246
619,1,21,28246
620,1,21,28246
621,1,21,28246
622,1,21,28246
623,1,21,28246
624,1,21,28246
625,1,21,28246
626,1,21,28246
627,1,21,28246
628,1,21,28246
629,1,21,28246
630,1,21,28246
631,1,21,28246
632,1,21,28246
633,1,21,28246
634,1,21,28246
635,1,21,28246
636,1,21,28246
637,1,21,28246
638,1,21,28246
639,1,21,28246
640,1,21,28246
641,1,21,28246
642,1,21,28246
643,1,21,28246
644,1,21,28246
645,1,21,28246
646,1,21,28246
647,1,21,28246
648,1,21,28246
649,1,21,28246
650,1,21,28246
651,1,21,28246
652,1,21,28246
653,1,21,28246
654,1,21,28246
655,1,21,28246
656,1,21,28246
657,1,21,28246
658,1,21,28246
659,1,21,28246
660,1,21,28246
661,1,21,28246
662,1,21,28246
663,1,21,28246
664,1,21,28246
665,1,21,28246
666,1,21,28246
667,1,21,28246
668,1,21,28246
669,1,21,28246
670,1,21,28246
671,1,21,28246
672,1,21,28246
673,1,21,28246
674,1,21,28246
675,1,21,28246
676,1,21,28246
677,1,21,28246
678,1,21,28246
679,1,21,28246
680,1,21,28246
681,1,21,28246
682,1,21,28246
683,1,21,28246
684,1,21,28246
685,1,21,28246
686,1,21,28246
687,1,21,28246
688,1,21,28246
689,1,21,28246
690,1,21,28246
691,1,21,28246
692,1,21,28246
693,1,21,28246
694,1,21,28246
695,1,21,28246
696,1,21,28246
697,1,21,28246
698,1,21,28246
699,1,21,28246
700,1,21,28246
701,1,21,28246
702,1,21,28246
703,1,21,28246
704,1,21,28246
705,1,21,28246
706,1,21,28246
707,1,21,28246
708,1,21,28246
709,1,21,28246
710,1,21,28246
711,1,21,28246
712,1,21,28246
713,1,21,28246
714,1,21,28246
715,1,21,28246
716,1,21,28246
717,1,21,28246
718,1,21,28246
719,1,21,28246
720,1,21,28246
721,1,21,28246
722,1,21,28246
723,1,21,28246
724,1,21,28246
