sample,duration_ns,candidate_bodies_scanned,inactive_bodies_skipped,changed_bodies
786,5200,100,9900,100
787,5100,100,9900,100
788,5100,100,9900,100
789,5100,100,9900,100
790,5200,100,9900,100
791,5100,100,9900,100
792,5200,100,9900,100
793,5100,100,9900,100
794,5300,100,9900,100
795,5100,100,9900,100
796,5100,100,9900,100
797,5000,100,9900,100
798,5200,100,9900,100
799,5100,100,9900,100
800,5200,100,9900,100
801,5100,100,9900,100
802,5200,100,9900,100
803,5100,100,9900,100
804,5200,100,9900,100
805,5100,100,9900,100
806,5200,100,9900,100
807,5100,100,9900,100
808,5100,100,9900,100
809,5100,100,9900,100
810,5100,100,9900,100
811,5100,100,9900,100
812,5200,100,9900,100
813,5100,100,9900,100
814,5100,100,9900,100
815,5100,100,9900,100
816,5200,100,9900,100
817,5100,100,9900,100
818,5300,100,9900,100
819,5200,100,9900,100
820,5100,100,9900,100
821,5100,100,9900,100
822,5200,100,9900,100
823,5100,100,9900,100
824,5200,100,9900,100
825,5100,100,9900,100
826,5100,100,9900,100
827,5100,100,9900,100
828,5200,100,9900,100
829,5100,100,9900,100
830,5100,100,9900,100
831,5100,100,9900,100
832,5100,100,9900,100
833,5200,100,9900,100
834,5100,100,9900,100
835,5100,100,9900,100
836,5100,100,9900,100
837,5100,100,9900,100
838,5000,100,9900,100
839,5000,100,9900,100
840,5100,100,9900,100
841,5100,100,9900,100
842,5100,100,9900,100
843,8600,100,9900,100
844,5200,100,9900,100
845,5100,100,9900,100
846,5100,100,9900,100
847,5100,100,9900,100
848,5100,100,9900,100
849,5000,100,9900,100
850,5200,100,9900,100
851,5100,100,9900,100
852,5200,100,9900,100
853,5100,100,9900,100
854,5100,100,9900,100
855,5100,100,9900,100
